Id,CustomerID,ProductQuantities,OrderDate
ORD0001,CUS0564,P0119:6;P0159:37;P0533:48,2024-10-31T11:37:53.048552+07:07
ORD0002,CUS2032,P0623:50,2024-08-12T13:47:53.014791+07:07
ORD0003,CUS2015,P0879:17;P0402:24;P0914:22;P0282:14;P0238:23,2024-12-14T02:58:07.573794+07:07
ORD0004,CUS4789,P0398:11;P0062:29;P0005:43;P0586:24,2024-04-23T02:00:40.983041+07:07
ORD0005,CUS0770,P0970:37;P0425:41,2024-09-06T23:40:17.728678+07:07
ORD0006,CUS2638,P0035:15;P0974:3,2024-07-31T21:42:50.030702+07:07
ORD0007,CUS2677,P0623:3;P0480:44;P0423:44;P0551:44;P0202:1,2024-06-29T10:46:16.206961+07:07
ORD0008,CUS2141,P0818:44;P0345:13;P0512:20,2024-04-24T02:39:20.915450+07:07
ORD0009,CUS0729,P0295:31;P0867:17;P0011:14,2024-06-10T19:49:12.508106+07:07
ORD0010,CUS2729,P0636:15,2024-10-04T11:42:24.012168+07:07
ORD0011,CUS2755,P0371:15;P0652:28;P0873:10;P0786:38,2024-05-09T15:36:21.249288+07:07
ORD0012,CUS1725,P0091:8;P0257:17;P0438:19;P0345:33;P0225:46,2024-01-26T05:03:46.271448+07:07
ORD0013,CUS4423,P0140:4;P0440:16;P0398:7;P0328:16,2024-05-25T11:07:08.181786+07:07
ORD0014,CUS1384,P0630:42;P0817:47;P0245:30,2024-03-15T12:25:36.425742+07:07
ORD0015,CUS2126,P0817:50;P0452:20;P0471:22,2024-05-30T12:15:32.164205+07:07
ORD0016,CUS1032,P0880:1,2024-01-27T02:05:10.357998+07:07
ORD0017,CUS2344,P0598:27;P0953:45;P0245:44;P0078:27,2024-10-28T22:31:10.428133+07:07
ORD0018,CUS2523,P0899:48;P0887:13;P0097:10;P0264:20;P0527:21,2024-11-23T07:15:29.193584+07:07
ORD0019,CUS1660,P0253:1;P0866:14;P0153:31;P0468:17;P0598:49,2024-07-10T11:47:47.899368+07:07
ORD0020,CUS2504,P0217:1;P0129:13;P0317:21,2024-07-26T19:44:31.103358+07:07
ORD0021,CUS4654,P0570:12;P0596:23;P0750:3;P0323:21,2024-10-11T02:58:15.745504+07:07
ORD0022,CUS0870,P0753:41;P0031:14,2024-04-12T10:24:27.963021+07:07
ORD0023,CUS2389,P0248:8;P0871:50,2024-03-29T16:27:35.071868+07:07
ORD0024,CUS2674,P0349:42;P0890:4;P0732:7;P0114:17;P0408:35,2024-06-15T17:25:01.371345+07:07
ORD0025,CUS0554,P0454:31,2024-02-07T10:47:11.248269+07:07
ORD0026,CUS2149,P0778:2;P0003:34,2024-10-21T07:36:54.223470+07:07
ORD0027,CUS2173,P0402:20;P0864:20;P0058:14;P0790:49;P0953:23,2024-11-02T17:51:08.729579+07:07
ORD0028,CUS3207,P0496:14;P0097:5;P0357:14;P0497:1,2024-01-12T02:43:22.646963+07:07
ORD0029,CUS4832,P0737:24,2024-02-03T19:34:02.142332+07:07
ORD0030,CUS3417,P0475:18;P0506:30;P0774:24,2024-11-18T23:25:49.072855+07:07
ORD0031,CUS4860,P0130:49;P0191:33,2024-02-25T06:01:37.232188+07:07
ORD0032,CUS2176,P0418:44;P0975:21;P0135:29;P0892:11,2024-01-25T09:32:08.188477+07:07
ORD0033,CUS4857,P0059:15,2024-09-13T23:29:13.269975+07:07
ORD0034,CUS4783,P0185:2;P0111:2;P0565:15,2024-10-09T22:36:16.863109+07:07
ORD0035,CUS4379,P0251:11;P0941:42;P0074:48;P0813:48;P0335:18,2024-04-27T17:20:01.091321+07:07
ORD0036,CUS4003,P0532:30;P0102:45;P0834:19;P0251:27,2024-02-10T08:45:55.367361+07:07
