Id,Name,Price,StockAvailable
1,Product_1,564.48,-2
2,Product_2,879.19,
3,Product_3,578.76,854
4,Product_4,355.94,260
5,Product_5,132.11,521
6,Product_6,826.26,271
7,Product_7,435.89,777
8,Product_8,799.92,993
9,Product_9,556.94,44
10,Product_10,722.77,125
11,Product_11,931.76,894
12,Product_12,571.62,274
13,Product_13,866.72,887
14,Product_14,385.75,812
15,Product_15,144.18,422
16,Product_16,792.34,463
17,Product_17,471.99,93
18,Product_18,782.23,559
19,Product_19,147.98,54
20,Product_20,690.71,666
21,Product_21,517.23,394
22,Product_22,613.4,597
23,Product_23,687.54,147
24,Product_24,297.14,152
25,Product_25,259.14,14
26,Product_26,127.38,927
27,Product_27,342.14,616
28,Product_28,670.66,710
29,Product_29,280.2,948
30,Product_30,651.59,60
31,Product_31,159.82,731
32,Product_32,213.55,84
33,Product_33,875.49,928
34,Product_34,172.85,327
35,Product_35,126.13,8
36,Product_36,358.7,208
37,Product_37,204.84,172
38,Product_38,956.11,388
39,Product_39,451.54,815
40,Product_40,907.65,403
41,Product_41,294.35,157
42,Product_42,286.16,145
43,Product_43,225.9,859
44,Product_44,818.49,352
45,Product_45,398.21,226
46,Product_46,475.99,240
47,Product_47,223.97,704
48,Product_48,944.34,280
49,Product_49,891.06,634
50,Product_50,463.15,262
51,Product_51,109.93,600
52,Product_52,951.91,285
53,Product_53,697.6,983
54,Product_54,220.31,691
55,Product_55,109.52,162
56,Product_56,147.08,193
57,Product_57,640.59,502
58,Product_58,90.7,951
59,Product_59,89.52,213
60,Product_60,702.75,706
61,Product_61,62.99,447
62,Product_62,793.31,504
63,Product_63,704.3,395
64,Product_64,468.98,739
65,Product_65,255.96,32
66,Product_66,235.36,541
67,Product_67,724.06,263
68,Product_68,440.28,850
69,Product_69,12.86,779
70,Product_70,150.71,806
71,Product_71,525.69,617
72,Product_72,888.31,622
73,Product_73,606.11,467
74,Product_74,823.12,743
75,Product_75,375.18,744
76,Product_76,207.7,149
77,Product_77,29.76,697
78,Product_78,472.74,571
79,Product_79,48.17,993
80,Product_80,964.86,553
81,Product_81,662.95,27
82,Product_82,950.27,576
83,Product_83,912.64,221
84,Product_84,299.51,176
85,Product_85,260.88,956
86,Product_86,143.11,502
87,Product_87,442.85,355
88,Product_88,141.35,815
89,Product_89,122.3,394
90,Product_90,798.69,244
91,Product_91,302.14,98
92,Product_92,829.83,423
93,Product_93,169.5,576
94,Product_94,162.8,283
95,Product_95,643.3,259
96,Product_96,612.57,610
97,Product_97,486.14,96
98,Product_98,813.29,735
99,Product_99,604.1,29
100,Product_100,927.15,694
101,Product_101,695.81,433
102,Product_102,107.11,202
103,Product_103,174.64,177
104,Product_104,419.57,643
105,Product_105,903.32,948
106,Product_106,955.72,664
107,Product_107,59.02,538
108,Product_108,116.31,333
109,Product_109,681.81,123
110,Product_110,320.11,140
111,Product_111,435.02,67
112,Product_112,468.34,673
113,Product_113,680.96,259
114,Product_114,927.62,772
115,Product_115,648.16,701
116,Product_116,761.77,997
117,Product_117,496.86,358
118,Product_118,159.34,897
119,Product_119,396.64,383
120,Product_120,967.52,152
121,Product_121,309.5,431
122,Product_122,684.97,818
123,Product_123,730.21,872
124,Product_124,646.39,496
125,Product_125,991.58,672
126,Product_126,412.13,524
127,Product_127,193.95,58
128,Product_128,602.66,690
129,Product_129,473.17,390
130,Product_130,199.22,851
131,Product_131,483.13,340
132,Product_132,603.82,10
133,Product_133,843.24,495
134,Product_134,370.63,185
135,Product_135,591.1,194
136,Product_136,600.24,780
137,Product_137,118.14,5
138,Product_138,633.98,571
139,Product_139,227.83,503
140,Product_140,16.97,66
141,Product_141,286.54,955
142,Product_142,596.68,913
143,Product_143,53.83,132
144,Product_144,323.17,833
145,Product_145,444.27,9
146,Product_146,344.78,255
147,Product_147,569.28,226
148,Product_148,957.92,519
149,Product_149,951.26,757
150,Product_150,485.39,945
151,Product_151,751.19,18
152,Product_152,30.53,818
153,Product_153,235.46,6
154,Product_154,891.41,720
155,Product_155,155.38,802
156,Product_156,771.44,840
157,Product_157,98.44,641
158,Product_158,794.35,963
159,Product_159,911.05,10
160,Product_160,527.88,145
161,Product_161,670.46,421
162,Product_162,303.65,945
163,Product_163,40.29,263
164,Product_164,596.53,319
165,Product_165,598,661
166,Product_166,749.23,492
167,Product_167,474.52,212
168,Product_168,768.11,589
169,Product_169,776.74,958
170,Product_170,249.26,28
171,Product_171,153.96,527
172,Product_172,402.73,106
173,Product_173,907.73,30
174,Product_174,843.7,652
175,Product_175,769.6,864
176,Product_176,322.56,321
177,Product_177,739.6,147
178,Product_178,284.67,953
179,Product_179,169.98,509
180,Product_180,520.34,823
181,Product_181,253.45,174
182,Product_182,550.19,86
183,Product_183,258,582
184,Product_184,47.2,718
185,Product_185,850.86,310
186,Product_186,17.87,358
187,Product_187,409.21,9
188,Product_188,669.25,326
189,Product_189,68.36,741
190,Product_190,388.77,707
191,Product_191,443.59,984
192,Product_192,229.24,137
193,Product_193,97.48,686
194,Product_194,602.76,845
195,Product_195,22.78,551
196,Product_196,520.95,420
197,Product_197,492.57,843
198,Product_198,48.25,183
199,Product_199,987.7,945
200,Product_200,173.01,168
201,Product_201,436.63,566
202,Product_202,194.69,154
203,Product_203,581.86,644
204,Product_204,998.49,186
205,Product_205,44.56,704
206,Product_206,166.67,762
207,Product_207,978.97,27
208,Product_208,829.12,390
209,Product_209,638.78,714
210,Product_210,36.85,329
211,Product_211,259.21,537
212,Product_212,181.33,479
213,Product_213,683.09,258
214,Product_214,67.03,61
215,Product_215,645.54,832
216,Product_216,372.42,507
217,Product_217,612.39,286
218,Product_218,269.52,505
219,Product_219,665.89,318
220,Product_220,468.42,980
221,Product_221,174,653
222,Product_222,744.8,921
223,Product_223,36.64,606
224,Product_224,352.72,122
225,Product_225,68.21,688
226,Product_226,649.76,685
227,Product_227,804.18,764
228,Product_228,265.17,246
229,Product_229,778.13,893
230,Product_230,349.06,295
231,Product_231,711.78,898
232,Product_232,259.34,565
233,Product_233,115.47,840
234,Product_234,87.81,90
235,Product_235,214.28,362
236,Product_236,794.94,835
237,Product_237,490.95,533
238,Product_238,150.75,771
239,Product_239,957.98,325
240,Product_240,187.2,27
241,Product_241,56.14,287
242,Product_242,279.82,138
243,Product_243,110.86,155
244,Product_244,158.85,319
245,Product_245,146.21,542
246,Product_246,595.36,149
247,Product_247,990.46,967
248,Product_248,599.01,318
249,Product_249,289.48,697
250,Product_250,81.42,475
251,Product_251,860.53,394
252,Product_252,351.28,94
253,Product_253,980.15,258
254,Product_254,144.98,753
255,Product_255,338.14,877
256,Product_256,422.28,99
257,Product_257,817.04,370
258,Product_258,230.01,663
259,Product_259,150.36,421
260,Product_260,955.09,659
261,Product_261,568.29,629
262,Product_262,65.59,463
263,Product_263,383.67,985
264,Product_264,45.03,923
265,Product_265,22.77,562
266,Product_266,408.27,877
267,Product_267,871.85,96
268,Product_268,310.56,580
269,Product_269,296.41,152
270,Product_270,578.31,110
271,Product_271,700.83,339
272,Product_272,497.16,404
273,Product_273,769.48,82
274,Product_274,229.71,120
275,Product_275,965.79,659
276,Product_276,190.48,20
277,Product_277,651.85,259
278,Product_278,67.16,645
279,Product_279,832.86,692
280,Product_280,262.38,176
281,Product_281,50.12,461
282,Product_282,574.37,270
283,Product_283,894.23,183
284,Product_284,676.98,718
285,Product_285,759.02,380
286,Product_286,607.28,997
287,Product_287,901.2,22
288,Product_288,683.68,606
289,Product_289,195.34,54
290,Product_290,680.45,97
291,Product_291,793.79,414
292,Product_292,464.59,257
293,Product_293,92.47,807
294,Product_294,556.41,271
295,Product_295,794.87,769
296,Product_296,584.94,912
297,Product_297,314.74,48
298,Product_298,348.14,858
299,Product_299,587.98,280
300,Product_300,540.29,105
301,Product_301,665.66,252
302,Product_302,359.81,401
303,Product_303,15.42,568
304,Product_304,481.71,959
305,Product_305,649.16,550
306,Product_306,857.75,511
307,Product_307,68.63,578
308,Product_308,787.65,917
309,Product_309,721.74,577
310,Product_310,460.63,834
311,Product_311,67.76,708
312,Product_312,552.42,522
313,Product_313,830.73,315
314,Product_314,419.88,555
315,Product_315,779.23,680
316,Product_316,70.55,693
317,Product_317,309.16,834
318,Product_318,46.97,237
319,Product_319,676.09,235
320,Product_320,146.56,228
321,Product_321,313.11,382
322,Product_322,117.74,817
323,Product_323,761.36,540
324,Product_324,645.38,682
325,Product_325,893.49,339
326,Product_326,646.05,943
327,Product_327,721.17,638
328,Product_328,442.96,463
329,Product_329,288.64,730
330,Product_330,378.4,261
331,Product_331,583.29,492
332,Product_332,16.7,324
333,Product_333,249.94,120
334,Product_334,680.98,289
335,Product_335,600.84,946
336,Product_336,144.29,742
337,Product_337,671.73,744
338,Product_338,717,878
339,Product_339,592.1,682
340,Product_340,906.05,62
341,Product_341,237.77,736
342,Product_342,98.81,915
343,Product_343,64.19,224
344,Product_344,176.8,941
345,Product_345,106.72,264
346,Product_346,516,415
347,Product_347,708.31,598
348,Product_348,926.88,699
349,Product_349,597.19,942
350,Product_350,377.52,490
351,Product_351,174.66,579
352,Product_352,431.26,113
353,Product_353,482.98,36
